1,a,"to, at"
50,acerca,"about, concerning"
301,ante,"before, in the presence of"
534,bajo,"under, underneath"
1040,con,with
1080,conforme,in agreement with
1156,contra,"against, opposite"
1349,de,"of, from"
1350,debajo,"underneath, below"
1466,desde,"from, since"
1686,durante,during
1779,en,"in, on"
1849,entre,"between, among"
2033,excepto,except (for)
2401,hacia,"toward, towards"
2408,hasta,"until, up to, even (ADV)"
3046,mediante,by means of
3481,para,"for, to, in order to"
3612,pesar,a p. de: in spite of
3708,por,"by, for, through"
4164,respecto,con r. a: regarding
4305,salvo,"except for, but"
4339,según,according to
4430,sin,without
4452,sobre,"on top of, over, about"
4711,torno,en t. a: around
4766,tras,"after, behind"
4777,través,"a t. de: through, across"
