word,ipa,grammatical_gender,plural,syllabification,audio_links,english_translations,french_translations,italian_translations,german_translations

amigo,/aˈmiɣo/,male,amigos,a‧mi‧go,lila/words/spanish/nouns/amigo.mp3,"[""friend""]","[""ami""]","[""amico""]","[""Freund""]"
bosque,/ˈboske/,male,bosques,bos‧que,lila/words/spanish/nouns/bosque.mp3,"[""forest""]","[""forêt""]","[""foresta""]","[""Wald""]"
casa,/ˈkasa/,female,casas,ca‧sa,lila/words/spanish/nouns/casa.mp3,"[""house""]","[""maison""]","[""casa""]","[""Haus""]"
dedo,/ˈðeðo/,male,dedos,de‧do,lila/words/spanish/nouns/dedo.mp3,"[""finger""]","[""doigt""]","[""dito""]","[""Finger""]"
elefante,/eleˈfante/,male,elefantes,e‧le‧fan‧te,lila/words/spanish/nouns/elefante.mp3,"[""elephant""]","[""éléphant""]","[""elefante""]","[""Elefant""]"
flor,/flor/,female, flores,flor,lila/words/spanish/nouns/flor.mp3,"[""flower""]","[""fleur""]","[""fiore""]","[""Blume""]"
gato,/ˈɡato/,male,gatos,ga‧to,lila/words/spanish/nouns/gato.mp3,"[""cat""]","[""chat""]","[""gatto""]","[""Katze""]"
hombre,/ˈom.bɾe/,male,hombres,hom‧bre,lila/words/spanish/nouns/hombre.mp3,"[""man""]","[""homme""]","[""uomo""]","[""Mann""]"
isla,/ˈizla/,female,islas,is‧la,lila/words/spanish/nouns/isla.mp3,"[""island""]","[""île""]","[""isola""]","[""Insel""]"
jardín,/xaɾˈðin/,male,jardines,jar‧dín,lila/words/spanish/nouns/jardin.mp3,"[""garden""]","[""jardin""]","[""giardino""]","[""Garten""]"
kilo,/ˈkilo/,male,kilos,ki‧lo,lila/words/spanish/nouns/kilo.mp3,"[""kilo""]","[""kilo""]","[""chilo""]","[""Kilo""]"
lago,/ˈlaɣo/,male,lago,la‧go,lila/words/spanish/nouns/lago.mp3,"[""lake""]","[""lac""]","[""lago""]","[""See""]"
mesa,/ˈmesa/,female,mesas,me‧sa,lila/words/spanish/nouns/mesa.mp3,"[""table""]","[""table""]","[""tavolo""]","[""Tisch""]"
nube,/ˈnu.βe/,female,nubes,nu‧be,lila/words/spanish/nouns/nube.mp3,"[""cloud""]","[""nuage""]","[""nuvola""]","[""Wolke""]"
ojo,/ˈoxo/,male,ojos,o‧jo,lila/words/spanish/nouns/ojo.mp3,"[""eye""]","[""œil""]","[""occhio""]","[""Auge""]"
pájaro,/ˈpa.xa.ɾo/,male,pájaros, pá‧ja‧ro,lila/words/spanish/nouns/pájaro.mp3,"[""bird""]","[""oiseau""]","[""uccello""]","[""Vogel""]"
queso,/ˈkeso/,male,quesos,que‧so,lila/words/spanish/nouns/queso.mp3,"[""cheese""]","[""fromage""]","[""formaggio""]","[""Käse""]"
ratón,/raˈton/,male,ratones,ra‧tón,lila/words/spanish/nouns/ratón.mp3,"[""mouse""]","[""souris""]","[""topo""]","[""Maus""]"
silla,/ˈsi.ʝa/,female,sillas,si‧lla,lila/words/spanish/nouns/silla.mp3,"[""chair""]","[""chaise""]","[""sedia""]","[""Stuhl""]"
tren,/tren/,male,trenes,tren,lila/words/spanish/nouns/tren.mp3,"[""train""]","[""train""]","[""treno""]","[""Zug""]"
uva,/ˈuβa/,female, uvas,u‧va,lila/words/spanish/nouns/uva.mp3,"[""grape""]","[""raisin""]","[""uva""]","[""Traube""]"
vaca,/ˈbaka/,female,vacas,va‧ca,lila/words/spanish/nouns/vaca.mp3,"[""cow""]","[""vache""]","[""mucca""]","[""Kuh""]"
waffle,/ˈwafel/,male,waffles,waf‧fle,lila/words/spanish/nouns/waffle.mp3,"[""waffle""]","[""gaufre""]","[""waffle""]","[""Waffel""]"
xilófono,/siˈlofono/,male,xilófonos,xi‧ló‧fono,lila/words/spanish/nouns/xilófono.mp3,"[""xylophone""]","[""xylophone""]","[""xilofono""]","[""Xylofon""]"
yate,/ˈjate/,male,yates,ya‧te,lila/words/spanish/nouns/yate.mp3,"[""yacht""]","[""yacht""]","[""yacht""]","[""Jacht""]"
zapato,/zaˈpato/,male,zapatos,za‧pa‧to,lila/words/spanish/nouns/zapato.mp3,"[""shoe""]","[""chaussure""]","[""scarpa""]","[""Schuh""]"
